Driver,Team,GridPosition,Position,ClassifiedPosition,Status,Points,Race,Round
ALO,Aston Martin,21.0,18.0,18,Lapped,0.0,British Grand Prix,9
STR,Aston Martin,22.0,19.0,19,Lapped,0.0,British Grand Prix,9
VER,Red Bull Racing,7.0,20.0,20,Retired,0.0,British Grand Prix,9
ALB,Williams,16.0,21.0,R,Retired,0.0,British Grand Prix,9
HUL,Audi,12.0,22.0,R,Retired,0.0,British Grand Prix,9
ANT,Mercedes,1.0,1.0,1,Finished,25.0,Belgian Grand Prix,10
LEC,Ferrari,4.0,2.0,2,Finished,18.0,Belgian Grand Prix,10
VER,Red Bull Racing,2.0,3.0,3,Finished,15.0,Belgian Grand Prix,10
HAM,Ferrari,5.0,4.0,4,Finished,12.0,Belgian Grand Prix,10
PIA,McLaren,6.0,5.0,5,Finished,10.0,Belgian Grand Prix,10
HAD,Red Bull Racing,21.0,6.0,6,Finished,8.0,Belgian Grand Prix,10
NOR,McLaren,13.0,7.0,7,Finished,6.0,Belgian Grand Prix,10
BOR,Audi,8.0,8.0,8,Finished,4.0,Belgian Grand Prix,10
LIN,Racing Bulls,7.0,9.0,9,Finished,2.0,Belgian Grand Prix,10
COL,Alpine,11.0,10.0,10,Finished,1.0,Belgian Grand Prix,10
GAS,Alpine,10.0,11.0,11,Finished,0.0,Belgian Grand Prix,10
LAW,Racing Bulls,9.0,12.0,12,Finished,0.0,Belgian Grand Prix,10
HUL,Audi,12.0,13.0,13,Finished,0.0,Belgian Grand Prix,10
BEA,Haas F1 Team,14.0,14.0,14,Finished,0.0,Belgian Grand Prix,10
ALB,Williams,15.0,15.0,15,Finished,0.0,Belgian Grand Prix,10
SAI,Williams,19.0,16.0,16,Finished,0.0,Belgian Grand Prix,10
OCO,Haas F1 Team,16.0,17.0,17,Finished,0.0,Belgian Grand Prix,10
BOT,Cadillac,17.0,18.0,18,Lapped,0.0,Belgian Grand Prix,10
ALO,Aston Martin,22.0,19.0,19,Lapped,0.0,Belgian Grand Prix,10
STR,Aston Martin,20.0,20.0,R,Retired,0.0,Belgian Grand Prix,10
PER,Cadillac,18.0,21.0,R,Retired,0.0,Belgian Grand Prix,10
RUS,Mercedes,3.0,22.0,R,Retired,0.0,Belgian Grand Prix,10
NOR,McLaren,1.0,1.0,1,Finished,25.0,Hungarian Grand Prix,11
VER,Red Bull Racing,4.0,2.0,2,Finished,18.0,Hungarian Grand Prix,11
ANT,Mercedes,7.0,3.0,3,Finished,15.0,Hungarian Grand Prix,11
LEC,Ferrari,2.0,4.0,4,Finished,12.0,Hungarian Grand Prix,11
HAM,Ferrari,5.0,5.0,5,Finished,10.0,Hungarian Grand Prix,11
HAD,Red Bull Racing,8.0,6.0,6,Finished,8.0,Hungarian Grand Prix,11
RUS,Mercedes,6.0,7.0,7,Finished,6.0,Hungarian Grand Prix,11
LAW,Racing Bulls,11.0,8.0,8,Lapped,4.0,Hungarian Grand Prix,11
HUL,Audi,10.0,9.0,9,Lapped,2.0,Hungarian Grand Prix,11
LIN,Racing Bulls,9.0,10.0,10,Lapped,1.0,Hungarian Grand Prix,11
BOR,Audi,14.0,11.0,11,Lapped,0.0,Hungarian Grand Prix,11
GAS,Alpine,12.0,12.0,12,Lapped,0.0,Hungarian Grand Prix,11
STR,Aston Martin,20.0,13.0,13,Lapped,0.0,Hungarian Grand Prix,11
ALO,Aston Martin,16.0,14.0,14,Lapped,0.0,Hungarian Grand Prix,11
COL,Alpine,13.0,15.0,15,Lapped,0.0,Hungarian Grand Prix,11
OCO,Haas F1 Team,15.0,16.0,16,Lapped,0.0,Hungarian Grand Prix,11
ALB,Williams,19.0,17.0,17,Lapped,0.0,Hungarian Grand Prix,11
SAI,Williams,18.0,18.0,18,Lapped,0.0,Hungarian Grand Prix,11
BEA,Haas F1 Team,17.0,19.0,19,Lapped,0.0,Hungarian Grand Prix,11
PIA,McLaren,3.0,20.0,R,Retired,0.0,Hungarian Grand Prix,11
PER,Cadillac,22.0,21.0,R,Retired,0.0,Hungarian Grand Prix,11
BOT,Cadillac,21.0,22.0,R,Retired,0.0,Hungarian Grand Prix,11
NOR,McLaren,1.0,1.0,1,Finished,25.0,Dutch Grand Prix,12
ANT,Mercedes,3.0,2.0,2,Finished,18.0,Dutch Grand Prix,12
RUS,Mercedes,2.0,3.0,3,Finished,15.0,Dutch Grand Prix,12
HAM,Ferrari,5.0,4.0,4,Finished,12.0,Dutch Grand Prix,12
LEC,Ferrari,6.0,5.0,5,Finished,10.0,Dutch Grand Prix,12
PIA,McLaren,4.0,6.0,6,Finished,8.0,Dutch Grand Prix,12
LAW,Red Bull Racing,8.0,7.0,7,Finished,6.0,Dutch Grand Prix,12
HUL,Audi,13.0,8.0,8,Lapped,4.0,Dutch Grand Prix,12
ALO,Aston Martin,18.0,9.0,9,Lapped,2.0,Dutch Grand Prix,12
GAS,Alpine,11.0,10.0,10,Lapped,1.0,Dutch Grand Prix,12
TSU,Racing Bulls,12.0,11.0,11,Lapped,0.0,Dutch Grand Prix,12
LIN,Racing Bulls,10.0,12.0,12,Lapped,0.0,Dutch Grand Prix,12
BOR,Audi,9.0,13.0,13,Lapped,0.0,Dutch Grand Prix,12
COL,Alpine,14.0,14.0,14,Lapped,0.0,Dutch Grand Prix,12
PER,Cadillac,22.0,15.0,15,Lapped,0.0,Dutch Grand Prix,12
SAI,Williams,17.0,16.0,16,Lapped,0.0,Dutch Grand Prix,12
ALB,Williams,16.0,17.0,17,Retired,0.0,Dutch Grand Prix,12
BOT,Cadillac,21.0,18.0,R,Retired,0.0,Dutch Grand Prix,12
OCO,Haas F1 Team,15.0,19.0,R,Retired,0.0,Dutch Grand Prix,12
STR,Aston Martin,19.0,20.0,R,Retired,0.0,Dutch Grand Prix,12
BEA,Haas F1 Team,20.0,21.0,R,Retired,0.0,Dutch Grand Prix,12
VER,Red Bull Racing,7.0,22.0,R,Retired,0.0,Dutch Grand Prix,12
