Season,RoundNumber,Race,Driver,grid_pos,Position,grid_rank,lap1_rank,change,field
2022,17,Singapore Grand Prix,MAG,9.0,11.0,9.0,11.0,-2.0,19
2022,17,Singapore Grand Prix,TSU,10.0,9.0,10.0,9.0,1.0,19
2022,17,Singapore Grand Prix,ALB,18.0,20.0,18.0,19.0,-1.0,19
2022,17,Singapore Grand Prix,ZHO,14.0,18.0,14.0,18.0,-4.0,19
2022,17,Singapore Grand Prix,RIC,16.0,13.0,16.0,13.0,3.0,19
2022,17,Singapore Grand Prix,OCO,17.0,15.0,17.0,15.0,2.0,19
2022,17,Singapore Grand Prix,NOR,6.0,5.0,6.0,5.0,1.0,19
2022,17,Singapore Grand Prix,HAM,3.0,4.0,3.0,4.0,-1.0,19
2022,17,Singapore Grand Prix,MSC,12.0,14.0,12.0,14.0,-2.0,19
2022,17,Singapore Grand Prix,VET,13.0,8.0,13.0,8.0,5.0,19
2022,17,Singapore Grand Prix,SAI,4.0,3.0,4.0,3.0,1.0,19
2022,17,Singapore Grand Prix,LAT,19.0,17.0,19.0,17.0,2.0,19
2022,17,Singapore Grand Prix,BOT,15.0,16.0,15.0,16.0,-1.0,19
2022,19,United States Grand Prix,VER,2.0,1.0,1.0,1.0,0.0,18
2022,19,United States Grand Prix,GAS,11.0,8.0,10.0,8.0,2.0,18
2022,19,United States Grand Prix,PER,9.0,7.0,8.0,7.0,1.0,18
2022,19,United States Grand Prix,ALO,14.0,12.0,13.0,12.0,1.0,18
2022,19,United States Grand Prix,LEC,12.0,10.0,11.0,10.0,1.0,18
2022,19,United States Grand Prix,STR,5.0,3.0,4.0,3.0,1.0,18
2022,19,United States Grand Prix,MAG,13.0,18.0,12.0,18.0,-6.0,18
2022,19,United States Grand Prix,TSU,19.0,14.0,18.0,14.0,4.0,18
2022,19,United States Grand Prix,ALB,8.0,9.0,7.0,9.0,-2.0,18
2022,19,United States Grand Prix,ZHO,18.0,17.0,17.0,17.0,0.0,18
2022,19,United States Grand Prix,RIC,15.0,13.0,14.0,13.0,1.0,18
2022,19,United States Grand Prix,NOR,6.0,6.0,5.0,6.0,-1.0,18
2022,19,United States Grand Prix,HAM,3.0,2.0,2.0,2.0,0.0,18
2022,19,United States Grand Prix,MSC,16.0,15.0,15.0,15.0,0.0,18
2022,19,United States Grand Prix,VET,10.0,5.0,9.0,5.0,4.0,18
2022,19,United States Grand Prix,LAT,17.0,16.0,16.0,16.0,0.0,18
2022,19,United States Grand Prix,RUS,4.0,4.0,3.0,4.0,-1.0,18
2022,19,United States Grand Prix,BOT,7.0,11.0,6.0,11.0,-5.0,18
2022,20,Mexico City Grand Prix,VER,1.0,1.0,1.0,1.0,0.0,20
2022,20,Mexico City Grand Prix,GAS,14.0,16.0,14.0,16.0,-2.0,20
2022,20,Mexico City Grand Prix,PER,4.0,3.0,4.0,3.0,1.0,20
2022,20,Mexico City Grand Prix,ALO,9.0,7.0,9.0,7.0,2.0,20
2022,20,Mexico City Grand Prix,LEC,7.0,6.0,7.0,6.0,1.0,20
2022,20,Mexico City Grand Prix,STR,20.0,15.0,20.0,15.0,5.0,20
2022,20,Mexico City Grand Prix,MAG,19.0,18.0,19.0,18.0,1.0,20
2022,20,Mexico City Grand Prix,TSU,13.0,11.0,13.0,11.0,2.0,20
2022,20,Mexico City Grand Prix,ALB,17.0,19.0,17.0,19.0,-2.0,20
2022,20,Mexico City Grand Prix,ZHO,12.0,12.0,12.0,12.0,0.0,20
2022,20,Mexico City Grand Prix,RIC,11.0,13.0,11.0,13.0,-2.0,20
2022,20,Mexico City Grand Prix,OCO,10.0,9.0,10.0,9.0,1.0,20
2022,20,Mexico City Grand Prix,NOR,8.0,10.0,8.0,10.0,-2.0,20
2022,20,Mexico City Grand Prix,HAM,3.0,2.0,3.0,2.0,1.0,20
2022,20,Mexico City Grand Prix,MSC,15.0,17.0,15.0,17.0,-2.0,20
2022,20,Mexico City Grand Prix,VET,16.0,14.0,16.0,14.0,2.0,20
2022,20,Mexico City Grand Prix,SAI,5.0,5.0,5.0,5.0,0.0,20
2022,20,Mexico City Grand Prix,LAT,18.0,20.0,18.0,20.0,-2.0,20
2022,20,Mexico City Grand Prix,RUS,2.0,4.0,2.0,4.0,-2.0,20
2022,20,Mexico City Grand Prix,BOT,6.0,8.0,6.0,8.0,-2.0,20
2022,22,Abu Dhabi Grand Prix,VER,1.0,1.0,1.0,1.0,0.0,20
2022,22,Abu Dhabi Grand Prix,LEC,3.0,3.0,3.0,3.0,0.0,20
2022,22,Abu Dhabi Grand Prix,PER,2.0,2.0,2.0,2.0,0.0,20
