Driver,Team,quali_pos,Race,Round,is_target
HAM,Ferrari,3.0,British Grand Prix,9,False
RUS,Mercedes,4.0,British Grand Prix,9,False
HAD,Red Bull Racing,5.0,British Grand Prix,9,False
NOR,McLaren,6.0,British Grand Prix,9,False
VER,Red Bull Racing,7.0,British Grand Prix,9,False
PIA,McLaren,8.0,British Grand Prix,9,False
LIN,Racing Bulls,9.0,British Grand Prix,9,False
LAW,Racing Bulls,10.0,British Grand Prix,9,False
BOR,Audi,11.0,British Grand Prix,9,False
GAS,Alpine,12.0,British Grand Prix,9,False
HUL,Audi,13.0,British Grand Prix,9,False
BEA,Haas F1 Team,14.0,British Grand Prix,9,False
SAI,Williams,15.0,British Grand Prix,9,False
ALB,Williams,16.0,British Grand Prix,9,False
OCO,Haas F1 Team,17.0,British Grand Prix,9,False
BOT,Cadillac,18.0,British Grand Prix,9,False
COL,Alpine,19.0,British Grand Prix,9,False
PER,Cadillac,20.0,British Grand Prix,9,False
STR,Aston Martin,21.0,British Grand Prix,9,False
ALO,Aston Martin,22.0,British Grand Prix,9,False
ANT,Mercedes,1.0,Belgian Grand Prix,10,False
VER,Red Bull Racing,2.0,Belgian Grand Prix,10,False
NOR,McLaren,3.0,Belgian Grand Prix,10,False
RUS,Mercedes,4.0,Belgian Grand Prix,10,False
LEC,Ferrari,5.0,Belgian Grand Prix,10,False
HAM,Ferrari,6.0,Belgian Grand Prix,10,False
PIA,McLaren,7.0,Belgian Grand Prix,10,False
LIN,Racing Bulls,8.0,Belgian Grand Prix,10,False
BOR,Audi,9.0,Belgian Grand Prix,10,False
HAD,Red Bull Racing,10.0,Belgian Grand Prix,10,False
LAW,Racing Bulls,11.0,Belgian Grand Prix,10,False
GAS,Alpine,12.0,Belgian Grand Prix,10,False
COL,Alpine,13.0,Belgian Grand Prix,10,False
HUL,Audi,14.0,Belgian Grand Prix,10,False
SAI,Williams,15.0,Belgian Grand Prix,10,False
BEA,Haas F1 Team,16.0,Belgian Grand Prix,10,False
ALB,Williams,17.0,Belgian Grand Prix,10,False
OCO,Haas F1 Team,18.0,Belgian Grand Prix,10,False
BOT,Cadillac,19.0,Belgian Grand Prix,10,False
PER,Cadillac,20.0,Belgian Grand Prix,10,False
ALO,Aston Martin,21.0,Belgian Grand Prix,10,False
STR,Aston Martin,22.0,Belgian Grand Prix,10,False
NOR,McLaren,1.0,Hungarian Grand Prix,11,False
HAM,Ferrari,2.0,Hungarian Grand Prix,11,False
LEC,Ferrari,3.0,Hungarian Grand Prix,11,False
ANT,Mercedes,4.0,Hungarian Grand Prix,11,False
PIA,McLaren,5.0,Hungarian Grand Prix,11,False
VER,Red Bull Racing,6.0,Hungarian Grand Prix,11,False
RUS,Mercedes,7.0,Hungarian Grand Prix,11,False
HAD,Red Bull Racing,8.0,Hungarian Grand Prix,11,False
LIN,Racing Bulls,9.0,Hungarian Grand Prix,11,False
HUL,Audi,10.0,Hungarian Grand Prix,11,False
LAW,Racing Bulls,11.0,Hungarian Grand Prix,11,False
GAS,Alpine,12.0,Hungarian Grand Prix,11,False
COL,Alpine,13.0,Hungarian Grand Prix,11,False
BOR,Audi,14.0,Hungarian Grand Prix,11,False
OCO,Haas F1 Team,15.0,Hungarian Grand Prix,11,False
